V_fonte,I_multimetro,V_Ia,V_motor,V_tacometro,Velocidade
0.347,0.06,-0.008270900,0.312430000,-0.002857400,0
0.93,0.2,-0.010956000,0.830610000,-0.001447600,0
1.379,0.31,0.010932000,1.230300000,0.005222500,0
1.819,0.42,0.015391000,1.616600000,-0.003535400,0
2.025,0.48,0.018160000,1.785700000,-0.011497000,0
2.593,0.61,0.023860000,2.297900000,0.001261300,0
2.942,0.71,0.027021000,2.616700000,0.002470300,0
3.527,0.62,0.024286000,3.233300000,-0.000240300,0
3.843,0.54,0.022382000,3.561700000,0.492000000,104.7
4.6,0.55,0.021676000,4.324200000,2.847200000,176.8
5.012,0.57,0.021979000,4.724400000,3.380100000,217.1
5.489,0.57,0.022291000,4.800000000,4.164300000,264.1
6.117,0.58,0.021536000,5.841100000,5.243900000,321.5
6.62,0.59,0.021951000,6.136800000,5.865000000,370.6
7.3,0.6,0.025384000,7.017600000,6.735000000,432.9
8.04,0.6,0.024645000,7.747600000,8.052900000,500.3
8.53,0.61,0.021414000,8.283200000,8.578400000,538.4
9,0.62,0.022571000,8.729000000,9.269500000,578.7
9.54,0.63,0.021480000,9.291600000,9.792400000,629.6
10.1,0.63,0.024520000,9.804100000,10.750000000,674.5
11.02,0.64,0.026120000,10.729000000,12.156000000,759.2
12.03,0.65,0.023394000,11.738000000,13.593000000,846.9
13.09,0.66,0.028966000,12.766000000,14.644000000,939.5
14.02,0.68,0.026195000,13.710000000,16.152000000,1016
15.11,0.69,0.026728000,14.822000000,17.601000000,1128
16.12,0.7,0.026511000,15.828000000,19.176000000,1205
17.14,0.71,0.028260000,16.832000000,19.957000000,1300
18.1,0.72,0.028229000,17.796000000,22.095000000,1381
19.04,0.73,0.030090000,18.707000000,22.621000000,1460
20.01,0.74,0.027692000,19.737000000,24.503000000,1554
21.03,0.75,0.030790000,20.690000000,25.190000000,1630
22.13,0.76,0.029120000,21.808000000,26.504000000,1742